Tahun,Provinsi,Jumlah Penduduk (ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (km2),Persentase Laki-laki,Persentase Perempuan,Persentase Tenaga Kerja Formal,Persentase Tenaga Kerja Informal,APS 7-12(SD),APS 13-15(SMP),APS 16-18(SMA),APS 19-24(D3/D4/S1),Laju Pertumbuhan PDB Atas Dasar Harga Konstan 2010,PDB per Kapita Atas Dasar Harga Berlaku (ribu rupiah),Tingkat Pengangguran Terbuka,Provinsi_encoded
2016,Aceh,5096.2,2.01,1.97,88,49.94994995,50.05005005,42.83,57.17,99.82,97.89,81.82,33.94,3.29,26852.0,7.57,0
2016,Bali,4200.1,1.21,1.62,727,50.34756703,49.65243297,45.68,54.32,99.35,97.55,81.98,25.36,6.33,46211.0,1.89,1
2016,Banten,12203.1,2.23,4.72,1263,50.98039216,49.01960784,61.51,38.49,99.43,95.59,67.0,20.74,5.28,42440.0,8.92,2
2016,Bengkulu,1904.8,1.69,0.74,96,50.98039216,49.01960784,34.08,65.92,99.7,96.96,78.37,28.93,5.28,29076.0,3.3,3
2016,DI Yogyakarta,3720.9,1.18,1.44,1188,49.44388271,50.55611729,45.09,54.91,99.84,99.62,87.2,49.95,5.05,29553.0,2.72,4
2016,DKI Jakarta,10277.6,1.07,3.97,15478,50.19920319,49.80079681,68.71,31.29,99.61,97.47,70.83,23.06,5.87,210075.0,6.12,5
2016,Gorontalo,1150.8,1.62,0.44,102,50.0998004,49.9001996,39.69,60.31,98.71,91.01,69.12,28.98,6.52,27545.0,2.76,6
2016,Indonesia,258705.0,1.36,100.0,135,50.24875622,49.75124378,42.4,57.6,99.09,94.88,70.83,23.93,5.03,54703.2,5.61,7
2016,Jambi,3458.9,1.8,1.34,69,51.02840353,48.97159647,37.91,62.09,99.57,95.35,71.2,23.86,4.37,49495.0,4.0,8
2016,Jawa Barat,47379.4,1.54,18.31,1339,50.69033531,49.30966469,51.36,48.64,99.54,93.41,65.82,20.37,5.66,34894.0,8.89,9
2016,Jawa Tengah,34019.1,0.79,13.15,1037,49.59677419,50.40322581,37.83,62.17,99.58,95.41,67.95,21.59,5.25,31962.0,4.63,10
2016,Jawa Timur,39075.3,0.66,15.1,817,49.36708861,50.63291139,37.88,62.12,99.46,96.69,70.54,22.67,5.57,47492.0,4.21,11
2016,Kalimantan Barat,4861.7,1.63,1.88,33,50.93228656,49.06771344,38.19,61.81,98.39,92.12,67.16,24.75,5.2,33191.0,4.23,12
2016,Kalimantan Selatan,4055.5,1.81,1.57,105,50.69033531,49.30966469,37.81,62.19,99.48,92.21,67.91,21.89,4.4,36023.0,5.45,13
2016,Kalimantan Tengah,2550.2,2.33,0.99,17,52.24450812,47.75549188,41.35,58.65,99.49,93.25,66.12,22.72,6.35,43905.0,4.82,14
2016,Kalimantan Timur,3501.2,2.58,1.35,27,52.44888255,47.55111745,55.25,44.75,99.54,98.18,80.81,28.88,-0.38,145343.0,7.95,15
2016,Kalimantan Utara,666.3,1.5859139784946235,0.26,9,53.05164319,46.94835681,56.98,43.02,98.45,93.79,74.72,19.07,3.55,99112.0,5.23,16
2016,Kepulauan Bangka Belitung,1401.8,2.2,0.54,85,51.96926033,48.03073967,44.43,55.57,99.25,92.03,66.35,13.81,4.1,46402.0,2.6,17
2016,Kepulauan Riau,2028.2,3.06,0.78,247,51.05237396,48.94762604,66.2,33.8,99.33,98.78,82.04,18.58,4.98,106504.0,7.69,18
2016,Lampung,8205.1,1.21,3.17,237,51.26705653,48.73294347,29.9,70.1,99.63,94.32,69.31,19.72,5.14,34054.0,4.62,19
2016,Maluku,1715.5,1.79,0.66,37,50.42141795,49.57858205,35.76,64.24,99.39,96.6,78.19,37.51,5.73,21599.0,7.05,20
2016,Maluku Utara,1185.9,2.16,0.46,37,51.02840353,48.97159647,35.97,64.03,99.14,96.9,75.58,31.75,5.77,24581.0,4.01,21
2016,Nusa Tenggara Barat,4896.2,1.36,1.89,264,48.53319609,51.46680391,26.89,73.11,99.42,97.6,76.24,27.79,5.81,23787.0,3.94,22
2016,Nusa Tenggara Timur,5203.5,1.69,2.01,107,49.54591322,50.45408678,25.2,74.8,98.24,94.6,74.56,26.75,5.12,16094.0,3.25,23
2016,Papua,3207.4,1.95,1.24,10,52.69631031,47.30368969,21.63,78.37,81.11,78.86,62.07,23.75,9.14,54002.0,3.35,24
2016,Papua Barat,893.4,2.61,0.35,9,52.67392333,47.32607667,40.57,59.43,96.85,96.86,80.28,31.45,4.52,74585.0,7.46,25
2016,Riau,6501.0,2.59,2.51,75,51.33819951,48.66180049,46.37,53.63,98.87,94.62,75.68,26.18,2.18,104861.0,7.43,26
2016,Sulawesi Barat,1306.5,1.93,0.51,78,50.17438964,49.82561036,29.85,70.15,98.08,89.93,67.34,22.36,6.01,27513.0,3.33,27
2016,Sulawesi Selatan,8606.4,1.1,3.33,184,48.84910486,51.15089514,35.11,64.89,99.12,92.85,70.09,31.48,7.42,43817.0,4.8,28
2016,Sulawesi Tengah,2921.7,1.67,1.13,47,51.07632094,48.92367906,33.55,66.45,98.0,92.08,73.96,25.57,9.94,41082.0,3.29,29
2016,Sulawesi Tenggara,2551.0,2.16,0.99,67,50.27349577,49.72650423,31.47,68.53,99.28,93.94,72.67,29.31,6.51,38022.0,2.72,30
2016,Sulawesi Utara,2436.9,1.13,0.94,176,51.02840353,48.97159647,38.68,61.32,99.36,94.89,72.57,22.82,6.16,41246.0,6.18,31
2016,Sumatera Barat,5259.5,1.31,2.03,125,49.77398292,50.22601708,38.2,61.8,99.43,96.17,82.62,34.71,5.27,37285.0,5.09,32
2016,Sumatera Selatan,8160.9,1.46,3.15,89,50.81160846,49.18839154,39.29,60.71,99.61,93.68,68.67,18.07,5.04,43361.0,4.31,33
2016,Sumatera Utara,14102.9,1.33,5.45,193,49.8997996,50.1002004,40.02,59.98,99.42,96.48,76.43,26.62,5.18,44392.0,5.84,34
2017,Aceh,5189.5,1.98,1.98,90,49.94994995,50.05005005,40.42,59.58,99.85,98.09,82.15,34.28,4.18,28097.0,6.57,0
2017,Bali,4246.5,1.2,1.62,735,50.34756703,49.65243297,50.2,49.8,99.44,97.72,82.16,26.56,5.56,50167.0,1.48,1
2017,Banten,12448.2,2.2,4.75,1288,50.95635115,49.04364885,58.07,41.93,99.31,95.67,67.77,21.33,5.75,45276.0,9.28,2
2017,Bengkulu,1934.3,1.67,0.74,97,50.98039216,49.01960784,33.61,66.39,99.8,97.2,79.07,29.9,4.98,31359.0,3.74,3
2017,DI Yogyakarta,3762.2,1.17,1.44,1201,49.469429,50.530571,43.45,56.55,99.87,99.63,87.61,51.33,5.26,31665.0,3.02,4
2017,DKI Jakarta,10374.2,1.05,3.96,15624,50.14955135,49.85044865,71.55,28.45,99.67,97.64,71.5,24.6,6.2,228003.0,7.14,5
2017,Gorontalo,1168.2,1.61,0.45,104,50.0998004,49.9001996,39.49,60.51,98.76,91.23,69.86,29.21,6.73,29565.0,4.28,6
2017,Indonesia,261890.9,1.34,100.0,137,50.24875622,49.75124378,42.97,57.03,99.14,95.08,71.42,24.77,5.07,56923.04,5.5,7
2017,Jambi,3515.0,1.78,1.34,70,51.02840353,48.97159647,41.47,58.53,99.59,95.89,71.54,24.12,4.6,53993.0,3.87,8
2017,Jawa Barat,48037.6,1.52,18.34,1358,50.66600888,49.33399112,50.22,49.78,99.51,93.77,66.62,21.5,5.33,37223.0,8.22,9
2017,Jawa Tengah,34257.9,0.78,13.08,1044,49.59677419,50.40322581,39.71,60.29,99.62,95.48,68.48,22.13,5.26,34234.0,4.57,10
2017,Jawa Timur,39293.0,0.64,15.0,822,49.36708861,50.63291139,38.65,61.35,99.57,96.77,71.51,23.34,5.46,51228.0,4.0,11
2017,Kalimantan Barat,4932.5,1.61,1.88,33,50.90819833,49.09180167,38.57,61.43,98.44,92.51,67.53,25.8,5.17,35985.0,4.36,12
2017,Kalimantan Selatan,4119.8,1.77,1.57,106,50.71463775,49.28536225,38.98,61.02,99.55,92.33,68.3,23.53,5.28,38620.0,4.77,13
